pair_id	label	prediction	votes
R01-12-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-12-O	N	N	['N', 'N', 'N', 'N', 'N']
R1-13-A	N	N	['I', 'N', 'N', 'N', 'N']
R1-13-I	Y	N	['N', 'N', 'N', 'Y', 'N']
R1-13-U	N	N	['N', 'N', 'N', 'N', 'N']
R1-13-E	N	N	['N', 'N', 'N', 'N', 'N']
R1-13-O	Y	N	['N', 'N', 'N', 'N', 'N']
R1-14-A	Y	Y	['Y', 'Y', 'N', 'N', 'Y']
R1-14-I	Y	N	['N', 'N', 'N', 'N', 'N']
R1-14-U	N	I	['I', 'I', 'I', 'I', 'I']
R1-14-E	N	N	['N', 'N', 'N', 'N', 'N']
R1-14-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-15-A	N	N	['I', 'N', 'N', 'N', 'N']
R1-15-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-15-U	N	N	['N', 'N', 'N', 'N', 'N']
R1-15-E	N	N	['N', 'N', 'Y', 'N', 'N']
R1-15-O	Y	N	['Y', 'Y', 'N', 'N', 'N']
R1-16-U	N	N	['N', 'Y', 'N', 'N', 'N']
R1-17-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-17-I	N	N	['N', 'N', 'N', 'N', 'N']
R1-17-U	N	N	['N', 'N', 'N', 'N', 'N']
R1-17-O	Y	Y	['N', 'Y', 'Y', 'Y', 'Y']
R1-18-U	Y	N	['N', 'N', 'N', 'N', 'N']
R1-18-E	N	N	['N', 'N', 'N', 'N', 'N']
R1-19-A	N	N	['N', 'N', 'N', 'N', 'N']
R1-19-I	Y	N	['N', 'N', 'N', 'N', 'N']
R1-19-U	N	N	['N', 'N', 'N', 'N', 'N']
R1-19-E	Y	N	['N', 'N', 'N', 'N', 'N']
R1-19-O	N	N	['I', 'N', 'N', 'N', 'N']
R1-20-A	N	N	['I', 'I', 'N', 'N', 'N']
R1-20-I	Y	N	['N', 'N', 'N', 'N', 'N']
R1-21-A	N	N	['N', 'N', 'N', 'N', 'N']
R1-21-I	Y	Y	['Y', 'Y', 'N', 'N', 'Y']
R1-21-U	Y	N	['N', 'N', 'N', 'I', 'I']
R1-21-E	N	N	['N', 'N', 'N', 'N', 'N']
R1-21-O	Y	N	['N', 'N', 'N', 'N', 'I']
R1-22-A	N	N	['N', 'N', 'N', 'N', 'N']
R1-22-I	Y	N	['N', 'N', 'N', 'N', 'N']
R1-22-E	Y	I	['N', 'I', 'I', 'I', 'I']
R1-23-2	N	N	['N', 'N', 'N', 'N', 'N']
R1-23-3	N	N	['N', 'N', 'N', 'N', 'N']
R1-23-4	N	N	['I', 'I', 'N', 'N', 'N']
R1-23-5	Y	N	['N', 'N', 'N', 'N', 'N']
R1-24-A	Y	N	['N', 'N', 'N', 'N', 'N']
R1-24-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-24-U	N	N	['N', 'N', 'N', 'N', 'N']
R1-24-E	Y	N	['N', 'N', 'N', 'N', 'N']
R1-24-O	N	Y	['N', 'Y', 'Y', 'Y', 'Y']
R01-25-A	N	N	['N', 'N', 'N', 'N', 'N']
R01-25-I	Y	N	['N', 'N', 'N', 'N', 'N']
R01-25-U	Y	N	['N', 'N', 'N', 'N', 'N']
R01-25-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-25-O	N	N	['N', 'N', 'N', 'N', 'N']
R01-26-A	Y	N	['N', 'N', 'N', 'N', 'N']
R01-26-I	Y	N	['N', 'N', 'N', 'N', 'N']
R01-26-U	N	N	['N', 'Y', 'N', 'N', 'Y']
R01-26-E	N	N	['N', 'N', 'N', 'N', 'N']
R01-26-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-28-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-28-I	N	N	['Y', 'N', 'N', 'N', 'N']
R01-28-U	Y	Y	['N', 'Y', 'Y', 'Y', 'Y']
R01-28-E	N	N	['N', 'N', 'N', 'N', 'N']
R01-28-O	N	N	['N', 'N', 'N', 'N', 'N']
R01-31-A	Y	N	['N', 'N', 'N', 'N', 'N']
R01-36-A	N	N	['N', 'N', 'N', 'N', 'N']
R01-36-I	N	N	['N', 'N', 'N', 'N', 'N']
R01-36-U	Y	N	['N', 'N', 'N', 'N', 'N']
R01-36-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-37-A	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-37-I	Y	N	['N', 'N', 'N', 'N', 'N']
R01-37-U	N	N	['I', 'N', 'N', 'N', 'N']
